,RoILeft,RoITop,RoIWidth,RoIHeight,RoILaplacian,blobArea,blobPerimeter,blobAvgIntensity
0,51,368,2,1281,2557,0,2560,0
1,112,368,5,1281,3029,0,2560,0
2,1729,380,110,52,966,14,9,90
3,890,693,52,105,921,26,24,155
4,862,817,41,55,737,47,2,157
5,1390,832,49,116,1374,33,14,171
6,1095,916,59,117,1133,15,49,186
7,818,965,115,205,2068,13,24,139
8,607,1250,221,396,2690,5,2,56
9,1129,1303,93,140,1593,12,2,166
